"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00017294,0.049998,9.4722e-06,0,-24.75,-9.3333,0
0.00017394,0,0,0,-24.75,-10,0
0.00017329,0.05,0,0,-25,-9.3333,0
0.00017455,0.023084,0,0,-25,-10,0
0.00017248,0.049998,1.5163e-05,0,-24.5,-9.3333,0
0.00017316,0,0,0,-24.5,-10,0
0.00017221,0.049996,1.919e-05,0,-24.25,-9.3333,0
0.00017276,0,0,0,-24.25,-10,0
0.0001719,0.049994,2.2463e-05,0,-24,-9.3333,0
0.00017232,0,0,0,-24,-10,0
0.00017162,0.049991,2.4747e-05,0,-23.75,-9.3333,0
0.00017193,0,0,0,-23.75,-10,0
0.00017134,0.049988,2.6397e-05,0,-23.5,-9.3333,0
0.00017157,0,0,0,-23.5,-10,0
0.00017107,0.049985,2.7486e-05,0,-23.25,-9.3333,0
0.00017124,0,0,0,-23.25,-10,0
0.0001708,0.049982,2.8193e-05,0,-23,-9.3333,0
0.00017093,0,0,0,-23,-10,0
0.00017053,0.049979,2.856e-05,0,-22.75,-9.3333,0
0.00017062,0,0,0,-22.75,-10,0
0.00017026,0.049976,2.8696e-05,0,-22.5,-9.3333,0
0.00017032,0,0,0,-22.5,-10,0
0.00016998,0.049973,2.8604e-05,0,-22.25,-9.3333,0
0.00017002,0,0,0,-22.25,-10,0
0.0001697,0.049971,2.8359e-05,0,-22,-9.3333,0
0.00016972,0,0,0,-22,-10,0
0.00016941,0.049968,2.7951e-05,0,-21.75,-9.3333,0
0.00016941,0,0,0,-21.75,-10,0
0.0001691,0.049966,2.7433e-05,0,-21.5,-9.3333,0
0.00016909,0,0,0,-21.5,-10,0
0.00016878,0.049964,2.678e-05,0,-21.25,-9.3333,0
0.00016876,0,0,0,-21.25,-10,0
0.00016845,0.049962,2.6039e-05,0,-21,-9.3333,0
0.00016841,0,0,0,-21,-10,0
0.0001681,0.049961,2.5179e-05,0,-20.75,-9.3333,0
0.00016805,0,0,0,-20.75,-10,0
0.00016773,0.04996,2.4239e-05,0,-20.5,-9.3333,0
0.00016767,0,0,0,-20.5,-10,0
0.00016734,0.049959,2.3179e-05,0,-20.25,-9.3333,0
0.00016727,0,0,0,-20.25,-10,0
0.00016693,0.049959,2.2036e-05,0,-20,-9.3333,0
0.00016685,0,0,0,-20,-10,0
0.0001665,0.049959,2.0772e-05,0,-19.75,-9.3333,0
0.00016641,0,0,0,-19.75,-10,0
0.00016603,0.049959,1.9421e-05,0,-19.5,-9.3333,0
0.00016594,0,0,0,-19.5,-10,0
0.00016555,0.04996,1.7931e-05,0,-19.25,-9.3333,0
0.00016544,0,0,0,-19.25,-10,0
0.00016503,0.049962,1.6341e-05,0,-19,-9.3333,0
0.00016491,0,0,0,-19,-10,0
0.00016448,0.049964,1.4603e-05,0,-18.75,-9.3333,0
0.00016435,0,0,0,-18.75,-10,0
0.00016389,0.049968,1.2753e-05,0,-18.5,-9.3333,0
0.00016376,0,0,0,-18.5,-10,0
0.00016327,0.049971,1.0716e-05,0,-18.25,-9.3333,0
0.00016312,0,0,0,-18.25,-10,0
0.00016261,0.049976,8.5596e-06,0,-18,-9.3333,0
0.00016244,0,0,0,-18,-10,0
0.0001619,0.049981,6.1949e-06,0,-17.75,-9.3333,0
0.00016172,0,0,0,-17.75,-10,0
0.00016114,0.049987,3.6963e-06,0,-17.5,-9.3333,0
0.00016095,0,0,0,-17.5,-10,0
0.00016034,0.049994,9.1495e-07,0,-17.25,-9.3333,0
0.00016013,0,0,0,-17.25,-10,0
0.00015948,0.050002,-1.9846e-06,0,-17,-9.3333,0
0.00015925,0,0,0,-17,-10,0
0.00015856,0.050011,-5.2578e-06,0,-16.75,-9.3333,0
0.00015832,0,0,0,-16.75,-10,0
0.00015759,0.050022,-8.5659e-06,0,-16.5,-9.3333,0
0.00015732,0,0,0,-16.5,-10,0
0.00015653,0.050033,-1.2253e-05,0,-16.25,-9.3333,0
0.00015624,0,0,0,-16.25,-10,0
0.00015541,0.050047,-1.6211e-05,0,-16,-9.3333,0
0.0001551,0,0,0,-16,-10,0
0.00015421,0.050061,-2.0512e-05,0,-15.75,-9.3333,0
0.00015387,0,0,0,-15.75,-10,0
0.00015293,0.050077,-2.5097e-05,0,-15.5,-9.3333,0
0.00015256,0,0,0,-15.5,-10,0
0.00015155,0.050095,-3.011e-05,0,-15.25,-9.3333,0
0.00015116,0,0,0,-15.25,-10,0
0.00015008,0.050115,-3.5453e-05,0,-15,-9.3333,0
0.00014965,0,0,0,-15,-10,0
0.00014851,0.050136,-4.1313e-05,0,-14.75,-9.3333,0
0.00014804,0,0,0,-14.75,-10,0
0.00014682,0.05016,-4.7527e-05,0,-14.5,-9.3333,0
0.00014631,0,0,0,-14.5,-10,0
0.00014501,0.050186,-5.4394e-05,0,-14.25,-9.3333,0
0.00014446,0,0,0,-14.25,-10,0
0.00014307,0.050215,-6.1614e-05,0,-14,-9.3333,0
0.00014246,0,0,0,-14,-10,0
0.00014099,0.050246,-6.9706e-05,0,-13.75,-9.3333,0
0.00014033,0,0,0,-13.75,-10,0
0.00013876,0.050281,-7.8134e-05,0,-13.5,-9.3333,0
0.00013803,0,0,0,-13.5,-10,0
0.00013637,0.050318,-8.7807e-05,0,-13.25,-9.3333,0
0.00013556,0,0,0,-13.25,-10,0
0.0001338,0.050359,-9.7682e-05,0,-13,-9.3333,0
0.00013289,0,0,0,-13,-10,0
0.00013104,0.050403,-0.00010939,0,-12.75,-9.3333,0
0.00013004,0,0,0,-12.75,-10,0
0.00012808,0.050452,-0.00012108,0,-12.5,-9.3333,0
0.00012693,0,0,0,-12.5,-10,0
0.0001249,0.050503,-0.00013562,0,-12.25,-9.3333,0
0.00012361,0,0,0,-12.25,-10,0
0.00012148,0.050561,-0.00014974,0,-12,-9.3333,0
0.00011996,0,0,0,-12,-10,0
0.00011781,0.050622,-0.00016823,0,-11.75,-9.3333,0
0.00011608,0,0,0,-11.75,-10,0
0.0001139,0.050691,-0.00018588,0,-11.5,-9.3333,0
0.0001118,0,0,0,-11.5,-10,0
0.00010962,0.050762,-0.00021001,0,-11.25,-9.3333,0
0.00010716,0,0,0,-11.25,-10,0
0.0001053,0.050845,-0.00023353,0,-11,-9.3333,0
0.00010228,0,0,0,-11,-10,0
0.00010023,0.050925,-0.00026505,0,-10.75,-9.3333,0
9.6519e-05,0,0,0,-10.75,-10,0
9.6003e-05,0.051029,-0.00030092,0,-10.5,-9.3333,0
9.1705e-05,0,0,0,-10.5,-10,0
8.9436e-05,0.051117,-0.00034834,0,-10.25,-9.3333,0
8.3541e-05,0,0,0,-10.25,-10,0
8.1898e-05,0.051228,-0.00039274,-2.1428e-24,-10,-9.3333,0
8.7525e-05,0,0,0,-10,-10,0
0.00017197,0.050001,5.7021e-06,0,-24.75,-8.6667,0
0.00017202,0.05,0,0,-25,-8.6667,0
0.00017186,0.050003,9.0495e-06,0,-24.5,-8.6667,0
0.00017173,0.050006,1.1703e-05,0,-24.25,-8.6667,0
0.00017157,0.050009,1.369e-05,0,-24,-8.6667,0
0.00017139,0.050013,1.4978e-05,0,-23.75,-8.6667,0
0.0001712,0.050017,1.5834e-05,0,-23.5,-8.6667,0
0.000171,0.050021,1.6216e-05,0,-23.25,-8.6667,0
0.00017078,0.050025,1.6312e-05,0,-23,-8.6667,0
0.00017055,0.05003,1.606e-05,0,-22.75,-8.6667,0
0.00017031,0.050034,1.561e-05,0,-22.5,-8.6667,0
0.00017007,0.050039,1.4883e-05,0,-22.25,-8.6667,0
0.0001698,0.050045,1.401e-05,0,-22,-8.6667,0
0.00016953,0.05005,1.2897e-05,0,-21.75,-8.6667,0
0.00016925,0.050056,1.1659e-05,0,-21.5,-8.6667,0
0.00016895,0.050062,1.0197e-05,0,-21.25,-8.6667,0
0.00016863,0.050068,8.6308e-06,0,-21,-8.6667,0
0.0001683,0.050075,6.8372e-06,0,-20.75,-8.6667,0
0.00016795,0.050082,4.9291e-06,0,-20.5,-8.6667,0
0.00016759,0.050089,2.792e-06,0,-20.25,-8.6667,0
0.0001672,0.050097,5.3575e-07,0,-20,-8.6667,0
0.00016678,0.050105,-1.9769e-06,0,-19.75,-8.6667,0
0.00016634,0.050113,-4.6292e-06,0,-19.5,-8.6667,0
0.00016588,0.050122,-7.5581e-06,0,-19.25,-8.6667,0
0.00016539,0.050132,-1.0646e-05,0,-19,-8.6667,0
0.00016486,0.050142,-1.4048e-05,0,-18.75,-8.6667,0
0.00016431,0.050153,-1.7649e-05,0,-18.5,-8.6667,0
0.00016371,0.050164,-2.1602e-05,0,-18.25,-8.6667,0
0.00016308,0.050176,-2.5777e-05,0,-18,-8.6667,0
0.00016241,0.050189,-3.0351e-05,0,-17.75,-8.6667,0
0.0001617,0.050203,-3.5218e-05,0,-17.5,-8.6667,0
0.00016093,0.050217,-4.0534e-05,0,-17.25,-8.6667,0
0.00016012,0.050233,-4.6167e-05,0,-17,-8.6667,0
0.00015924,0.05025,-5.2313e-05,0,-16.75,-8.6667,0
0.00015832,0.050267,-5.8856e-05,0,-16.5,-8.6667,0
0.00015732,0.050286,-6.5956e-05,0,-16.25,-8.6667,0
0.00015626,0.050306,-7.3577e-05,0,-16,-8.6667,0
0.00015512,0.050328,-8.1817e-05,0,-15.75,-8.6667,0
0.00015391,0.050351,-9.0643e-05,0,-15.5,-8.6667,0
0.0001526,0.050375,-0.00010022,0,-15.25,-8.6667,0
0.00015121,0.050402,-0.00011046,0,-15,-8.6667,0
0.00014972,0.05043,-0.00012159,0,-14.75,-8.6667,0
0.00014813,0.05046,-0.00013345,0,-14.5,-8.6667,0
0.00014641,0.050492,-0.00014638,0,-14.25,-8.6667,0
0.00014458,0.050527,-0.00016011,0,-14,-8.6667,0
0.00014261,0.050564,-0.00017517,0,-13.75,-8.6667,0
0.00014052,0.050604,-0.00019108,0,-13.5,-8.6667,0
0.00013825,0.050646,-0.00020863,0,-13.25,-8.6667,0
0.00013586,0.050692,-0.00022705,0,-13,-8.6667,0
0.00013325,0.05074,-0.00024754,0,-12.75,-8.6667,0
0.00013051,0.050792,-0.00026895,0,-12.5,-8.6667,0
0.00012752,0.050847,-0.00029298,0,-12.25,-8.6667,0
0.00012441,0.050907,-0.00031791,0,-12,-8.6667,0
0.000121,0.05097,-0.00034606,0,-11.75,-8.6667,0
0.00011749,0.051038,-0.00037532,0,-11.5,-8.6667,0
0.00011362,0.051108,-0.00040839,0,-11.25,-8.6667,0
0.00010975,0.051184,-0.00044305,0,-11,-8.6667,0
0.00010542,0.051261,-0.00048073,0,-10.75,-8.6667,0
0.00010139,0.051346,-0.00052415,0,-10.5,-8.6667,0
9.6553e-05,0.051426,-0.00056146,0,-10.25,-8.6667,0
9.1859e-05,0.051517,-0.00061478,0,-10,-8.6667,0
0.00017174,0.05,1.5864e-06,0,-24.75,-8,0
0.00017176,0.05,0,0,-25,-8,0
0.00017167,0.050002,2.9137e-06,0,-24.5,-8,0
0.00017158,0.050004,3.8463e-06,0,-24.25,-8,0
0.00017146,0.050006,4.5825e-06,0,-24,-8,0
0.00017132,0.050009,4.9123e-06,0,-23.75,-8,0
0.00017116,0.050012,5.033e-06,0,-23.5,-8,0
0.000171,0.050015,4.7726e-06,0,-23.25,-8,0
0.00017082,0.050019,4.3248e-06,0,-23,-8,0
0.00017062,0.050023,3.532e-06,0,-22.75,-8,0
0.00017042,0.050027,2.569e-06,0,-22.5,-8,0
0.0001702,0.050032,1.2923e-06,0,-22.25,-8,0
0.00016997,0.050036,-1.3648e-07,0,-22,-8,0
0.00016973,0.050041,-1.8797e-06,0,-21.75,-8,0
0.00016947,0.050046,-3.7544e-06,0,-21.5,-8,0
0.0001692,0.050052,-5.9303e-06,0,-21.25,-8,0
0.00016892,0.050057,-8.2507e-06,0,-21,-8,0
0.00016862,0.050063,-1.0891e-05,0,-20.75,-8,0
0.0001683,0.05007,-1.3669e-05,0,-20.5,-8,0
0.00016797,0.050076,-1.6784e-05,0,-20.25,-8,0
0.00016761,0.050083,-2.0063e-05,0,-20,-8,0
0.00016723,0.050091,-2.3724e-05,0,-19.75,-8,0
0.00016683,0.050099,-2.7557e-05,0,-19.5,-8,0
0.00016641,0.050107,-3.1799e-05,0,-19.25,-8,0
0.00016596,0.050116,-3.627e-05,0,-19,-8,0
0.00016548,0.050125,-4.1214e-05,0,-18.75,-8,0
0.00016497,0.050135,-4.6408e-05,0,-18.5,-8,0
0.00016443,0.050145,-5.2116e-05,0,-18.25,-8,0
0.00016386,0.050156,-5.8158e-05,0,-18,-8,0
0.00016324,0.050168,-6.4788e-05,0,-17.75,-8,0
0.00016259,0.050181,-7.1823e-05,0,-17.5,-8,0
0.00016189,0.050194,-7.947e-05,0,-17.25,-8,0
0.00016116,0.050208,-8.763e-05,0,-17,-8,0
0.00016036,0.050223,-9.6496e-05,0,-16.75,-8,0
0.00015952,0.050239,-0.00010601,0,-16.5,-8,0
0.00015861,0.050256,-0.00011626,0,-16.25,-8,0
0.00015765,0.050275,-0.00012728,0,-16,-8,0
0.00015661,0.050294,-0.00013917,0,-15.75,-8,0
0.00015552,0.050315,-0.00015199,0,-15.5,-8,0
0.00015433,0.050337,-0.00016579,0,-15.25,-8,0
0.00015307,0.050361,-0.00018067,0,-15,-8,0
0.00015171,0.050386,-0.00019664,0,-14.75,-8,0
0.00015028,0.050414,-0.0002139,0,-14.5,-8,0
0.00014872,0.050443,-0.00023241,0,-14.25,-8,0
0.00014707,0.050474,-0.00025246,0,-14,-8,0
0.00014528,0.050507,-0.00027387,0,-13.75,-8,0
0.0001434,0.050543,-0.00029714,0,-13.5,-8,0
0.00014134,0.050581,-0.00032184,0,-13.25,-8,0
0.00013918,0.050623,-0.00034882,0,-13,-8,0
0.00013681,0.050666,-0.00037731,0,-12.75,-8,0
0.00013433,0.050713,-0.00040858,0,-12.5,-8,0
0.00013162,0.050763,-0.00044131,0,-12.25,-8,0
0.00012878,0.050817,-0.00047741,0,-12,-8,0
0.00012569,0.050874,-0.0005148,0,-11.75,-8,0
0.00012244,0.050935,-0.00055647,0,-11.5,-8,0
0.00011891,0.051,-0.0005987,0,-11.25,-8,0
0.0001152,0.05107,-0.00064615,0,-11,-8,0
0.00011122,0.051143,-0.00069285,0,-10.75,-8,0
0.00010704,0.051222,-0.0007468,0,-10.5,-8,0
0.00010255,0.051304,-0.00079516,0,-10.25,-8,0
9.7617e-05,0.051398,-0.00085055,0,-10,-8,0
0.00017158,0.05,1.7799e-07,0,-24.75,-7.3333,0
0.0001716,0.05,0,0,-25,-7.3333,0
0.00017155,0.050001,2.9333e-07,0,-24.5,-7.3333,0
0.00017149,0.050002,1.2824e-07,0,-24.25,-7.3333,0
0.00017141,0.050004,-1.3828e-07,0,-24,-7.3333,0
0.00017132,0.050006,-7.8617e-07,0,-23.75,-7.3333,0
0.0001712,0.050008,-1.5445e-06,0,-23.5,-7.3333,0
0.00017108,0.050011,-2.6556e-06,0,-23.25,-7.3333,0
0.00017093,0.050014,-3.8871e-06,0,-23,-7.3333,0
0.00017078,0.050017,-5.4515e-06,0,-22.75,-7.3333,0
0.00017061,0.05002,-7.1534e-06,0,-22.5,-7.3333,0
0.00017043,0.050024,-9.176e-06,0,-22.25,-7.3333,0
0.00017024,0.050028,-1.1345e-05,0,-22,-7.3333,0
0.00017003,0.050032,-1.3835e-05,0,-21.75,-7.3333,0
0.00016981,0.050036,-1.6455e-05,0,-21.5,-7.3333,0
0.00016958,0.050041,-1.9424e-05,0,-21.25,-7.3333,0
0.00016933,0.050046,-2.2551e-05,0,-21,-7.3333,0
0.00016907,0.050051,-2.6044e-05,0,-20.75,-7.3333,0
0.00016879,0.050057,-2.9692e-05,0,-20.5,-7.3333,0
0.0001685,0.050062,-3.3752e-05,0,-20.25,-7.3333,0
0.00016818,0.050069,-3.8016e-05,0,-20,-7.3333,0
0.00016785,0.050075,-4.2727e-05,0,-19.75,-7.3333,0
0.0001675,0.050082,-4.7647e-05,0,-19.5,-7.3333,0
0.00016713,0.050089,-5.3088e-05,0,-19.25,-7.3333,0
0.00016674,0.050097,-5.8826e-05,0,-19,-7.3333,0
0.00016632,0.050105,-6.5121e-05,0,-18.75,-7.3333,0
0.00016587,0.050114,-7.173e-05,0,-18.5,-7.3333,0
0.0001654,0.050123,-7.899e-05,0,-18.25,-7.3333,0
0.00016489,0.050133,-8.6707e-05,0,-18,-7.3333,0
0.00016436,0.050143,-9.5108e-05,0,-17.75,-7.3333,0
0.00016379,0.050154,-0.00010403,0,-17.5,-7.3333,0
0.00016318,0.050165,-0.0001137,0,-17.25,-7.3333,0
0.00016254,0.050177,-0.0001241,0,-17,-7.3333,0
0.00016185,0.05019,-0.00013532,0,-16.75,-7.3333,0
0.00016111,0.050204,-0.0001474,0,-16.5,-7.3333,0
0.00016033,0.050219,-0.00016032,0,-16.25,-7.3333,0
0.00015949,0.050235,-0.00017435,0,-16,-7.3333,0
0.00015859,0.050251,-0.00018933,0,-15.75,-7.3333,0
0.00015764,0.05027,-0.00020566,0,-15.5,-7.3333,0
0.00015662,0.050289,-0.00022297,0,-15.25,-7.3333,0
0.00015553,0.050309,-0.00024191,0,-15,-7.3333,0
0.00015435,0.050331,-0.0002619,0,-14.75,-7.3333,0
0.00015311,0.050354,-0.0002839,0,-14.5,-7.3333,0
0.00015177,0.050379,-0.00030701,0,-14.25,-7.3333,0
0.00015034,0.050406,-0.00033254,0,-14,-7.3333,0
0.0001488,0.050434,-0.00035921,0,-13.75,-7.3333,0
0.00014716,0.050465,-0.00038876,0,-13.5,-7.3333,0
0.00014539,0.050498,-0.00041947,0,-13.25,-7.3333,0
0.00014351,0.050533,-0.00045363,0,-13,-7.3333,0
0.00014148,0.05057,-0.00048904,0,-12.75,-7.3333,0
0.00013932,0.050611,-0.00052843,0,-12.5,-7.3333,0
0.00013699,0.050654,-0.0005691,0,-12.25,-7.3333,0
0.0001345,0.0507,-0.0006143,0,-12,-7.3333,0
0.00013183,0.050749,-0.00066093,0,-11.75,-7.3333,0
0.00012898,0.050802,-0.00071274,0,-11.5,-7.3333,0
0.00012591,0.050859,-0.00076576,0,-11.25,-7.3333,0
0.00012262,0.05092,-0.00082475,0,-11,-7.3333,0
0.0001191,0.050985,-0.00088468,0,-10.75,-7.3333,0
0.00011534,0.051055,-0.00095216,0,-10.5,-7.3333,0
0.00011125,0.051129,-0.0010181,0,-10.25,-7.3333,0
0.00010677,0.051215,-0.0010918,1.046e-22,-10,-7.3333,0
0.00017169,0.05,-1.09e-06,0,-24.75,-6.6667,0
0.00017169,0.05,0,0,-25,-6.6667,0
0.00017167,0.050001,-2.135e-06,0,-24.5,-6.6667,0
0.00017162,0.050002,-3.3965e-06,0,-24.25,-6.6667,0
0.00017156,0.050003,-4.6552e-06,0,-24,-6.6667,0
0.00017148,0.050004,-6.2142e-06,0,-23.75,-6.6667,0
0.0001714,0.050006,-7.7945e-06,0,-23.5,-6.6667,0
0.00017129,0.050008,-9.6823e-06,0,-23.25,-6.6667,0
0.00017118,0.050011,-1.1628e-05,0,-23,-6.6667,0
0.00017105,0.050013,-1.3873e-05,0,-22.75,-6.6667,0
0.00017091,0.050016,-1.6226e-05,0,-22.5,-6.6667,0
0.00017076,0.050019,-1.8891e-05,0,-22.25,-6.6667,0
0.0001706,0.050022,-2.1676e-05,0,-22,-6.6667,0
0.00017043,0.050026,-2.4789e-05,0,-21.75,-6.6667,0
0.00017025,0.050029,-2.8039e-05,0,-21.5,-6.6667,0
0.00017005,0.050033,-3.1655e-05,0,-21.25,-6.6667,0
0.00016985,0.050037,-3.5446e-05,0,-21,-6.6667,0
0.00016963,0.050042,-3.9627e-05,0,-20.75,-6.6667,0
0.0001694,0.050046,-4.3996e-05,0,-20.5,-6.6667,0
0.00016915,0.050051,-4.8822e-05,0,-20.25,-6.6667,0
0.00016889,0.050056,-5.3882e-05,0,-20,-6.6667,0
0.00016861,0.050062,-5.944e-05,0,-19.75,-6.6667,0
0.00016832,0.050068,-6.5265e-05,0,-19.5,-6.6667,0
0.00016801,0.050073,-7.1684e-05,0,-19.25,-6.6667,0
0.00016768,0.05008,-7.844e-05,0,-19,-6.6667,0
0.00016734,0.050087,-8.5838e-05,0,-18.75,-6.6667,0
0.00016697,0.050094,-9.362e-05,0,-18.5,-6.6667,0
0.00016658,0.050101,-0.00010217,0,-18.25,-6.6667,0
0.00016616,0.050109,-0.00011122,0,-18,-6.6667,0
0.00016572,0.050117,-0.00012107,0,-17.75,-6.6667,0
0.00016526,0.050126,-0.00013155,0,-17.5,-6.6667,0
0.00016476,0.050136,-0.0001429,0,-17.25,-6.6667,0
0.00016423,0.050146,-0.00015516,0,-17,-6.6667,0
0.00016366,0.050156,-0.00016828,0,-16.75,-6.6667,0
0.00016307,0.050168,-0.0001825,0,-16.5,-6.6667,0
0.00016243,0.050179,-0.00019759,0,-16.25,-6.6667,0
0.00016175,0.050192,-0.00021416,0,-16,-6.6667,0
0.00016102,0.050205,-0.00023166,0,-15.75,-6.6667,0
0.00016025,0.05022,-0.00025094,0,-15.5,-6.6667,0
0.00015942,0.050235,-0.00027114,0,-15.25,-6.6667,0
0.00015853,0.050252,-0.00029352,0,-15,-6.6667,0
0.00015759,0.050269,-0.00031691,0,-14.75,-6.6667,0
0.00015658,0.050288,-0.0003429,0,-14.5,-6.6667,0
0.00015549,0.050307,-0.00037,0,-14.25,-6.6667,0
0.00015433,0.050329,-0.00040011,0,-14,-6.6667,0
0.00015309,0.050352,-0.00043145,0,-13.75,-6.6667,0
0.00015175,0.050376,-0.00046626,0,-13.5,-6.6667,0
0.00015032,0.050402,-0.00050248,0,-13.25,-6.6667,0
0.00014879,0.050431,-0.00054269,0,-13,-6.6667,0
0.00014714,0.050461,-0.00058454,0,-12.75,-6.6667,0
0.00014536,0.050493,-0.0006309,0,-12.5,-6.6667,0
0.00014346,0.050528,-0.0006791,0,-12.25,-6.6667,0
0.00014141,0.050566,-0.00073235,0,-12,-6.6667,0
0.0001392,0.050606,-0.00078772,0,-11.75,-6.6667,0
0.00013681,0.05065,-0.00084871,0,-11.5,-6.6667,0
0.00013425,0.050696,-0.00091208,0,-11.25,-6.6667,0
0.00013147,0.050747,-0.00098164,0,-11,-6.6667,0
0.00012848,0.050801,-0.0010538,0,-10.75,-6.6667,0
0.00012526,0.05086,-0.0011333,0,-10.5,-6.6667,0
0.00012176,0.050923,-0.0012142,0,-10.25,-6.6667,0
0.00011781,0.050998,-0.0013036,1.689e-23,-10,-6.6667,0
0.00017185,0.05,-1.8077e-06,0,-24.75,-6,0
0.00017186,0.05,0,0,-25,-6,0
0.00017184,0.050001,-3.5731e-06,0,-24.5,-6,0
0.0001718,0.050001,-5.5232e-06,0,-24.25,-6,0
0.00017176,0.050002,-7.4886e-06,0,-24,-6,0
0.00017171,0.050003,-9.6856e-06,0,-23.75,-6,0
0.00017164,0.050004,-1.1925e-05,0,-23.5,-6,0
0.00017157,0.050006,-1.4419e-05,0,-23.25,-6,0
0.00017148,0.050008,-1.6976e-05,0,-23,-6,0
0.00017138,0.05001,-1.9804e-05,0,-22.75,-6,0
