"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00067563,0.049998,9.6088e-06,0,-24.75,-9.3333,0
0.0006766,0,0,0,-24.75,-10,0
0.00067598,0.05,0,0,-25,-9.3333,0
0.00067721,0.023084,0,0,-25,-10,0
0.00067517,0.049998,1.5128e-05,0,-24.5,-9.3333,0
0.00067578,0,0,0,-24.5,-10,0
0.00067493,0.049996,1.883e-05,0,-24.25,-9.3333,0
0.0006754,0,0,0,-24.25,-10,0
0.00067467,0.049992,2.1833e-05,0,-24,-9.3333,0
0.00067499,0,0,0,-24,-10,0
0.0006744,0.049989,2.3074e-05,0,-23.75,-9.3333,0
0.00067455,0,0,0,-23.75,-10,0
0.00067418,0.049985,2.3922e-05,0,-23.5,-9.3333,0
0.00067421,0,0,0,-23.5,-10,0
0.00067395,0.04998,2.6197e-05,0,-23.25,-9.3333,0
0.00067382,0,0,0,-23.25,-10,0
0.00067367,0.049975,4.6835e-05,0,-23,-9.3333,0
0.00067326,0,0,0,-23,-10,0
0.00067349,0.049964,0.00012902,0,-22.75,-9.3333,0
0.00067297,0,0,0,-22.75,-10,0
0.00067343,0.049938,0.00031655,0,-22.5,-9.3333,0
0.00067299,0,0,0,-22.5,-10,0
0.00067332,0.049884,0.00055547,0,-22.25,-9.3333,0
0.00067297,0,0,0,-22.25,-10,0
0.00067326,0.049808,0.00071607,0,-22,-9.3333,0
0.00067304,0,0,0,-22,-10,0
0.00067302,0.049722,0.00070538,0,-21.75,-9.3333,0
0.00067291,0,0,0,-21.75,-10,0
0.00067257,0.049648,0.00050017,0,-21.5,-9.3333,0
0.00067253,0,0,0,-21.5,-10,0
0.00067228,0.0496,0.00019127,0,-21.25,-9.3333,0
0.00067221,0,0,0,-21.25,-10,0
0.0006721,0.049581,-7.0768e-05,0,-21,-9.3333,0
0.00067198,0,0,0,-21,-10,0
0.00067195,0.049587,-0.00021352,0,-20.75,-9.3333,0
0.00067186,0,0,0,-20.75,-10,0
0.00067182,0.04961,-0.00027439,0,-20.5,-9.3333,0
0.00067175,0,0,0,-20.5,-10,0
0.00067171,0.049642,-0.00030982,0,-20.25,-9.3333,0
0.00067167,0,0,0,-20.25,-10,0
0.00067158,0.049675,-0.00031928,0,-20,-9.3333,0
0.00067157,0,0,0,-20,-10,0
0.00067145,0.049702,-0.00027848,0,-19.75,-9.3333,0
0.00067145,0,0,0,-19.75,-10,0
0.0006713,0.049719,-0.000204,0,-19.5,-9.3333,0
0.0006713,0,0,0,-19.5,-10,0
0.00067112,0.04973,-0.00013372,0,-19.25,-9.3333,0
0.00067112,0,0,0,-19.25,-10,0
0.00067093,0.049739,-7.2975e-05,0,-19,-9.3333,0
0.00067091,0,0,0,-19,-10,0
0.00067076,0.049749,2.868e-06,0,-18.75,-9.3333,0
0.00067069,0,0,0,-18.75,-10,0
0.00067057,0.049752,0.00010007,0,-18.5,-9.3333,0
0.00067047,0,0,0,-18.5,-10,0
0.00067033,0.049744,0.0001861,0,-18.25,-9.3333,0
0.00067021,0,0,0,-18.25,-10,0
0.00067008,0.049727,0.00022266,0,-18,-9.3333,0
0.00066996,0,0,0,-18,-10,0
0.0006698,0.049707,0.00020286,0,-17.75,-9.3333,0
0.00066966,0,0,0,-17.75,-10,0
0.00066953,0.049688,0.0001503,0,-17.5,-9.3333,0
0.00066939,0,0,0,-17.5,-10,0
0.00066926,0.049675,9.3348e-05,0,-17.25,-9.3333,0
0.00066909,0,0,0,-17.25,-10,0
0.00066895,0.049665,5.1228e-05,0,-17,-9.3333,0
0.00066876,0,0,0,-17,-10,0
0.0006687,0.049658,2.8262e-05,0,-16.75,-9.3333,0
0.00066852,0,0,0,-16.75,-10,0
0.00066839,0.049651,2.2947e-05,0,-16.5,-9.3333,0
0.00066815,0,0,0,-16.5,-10,0
0.00066799,0.049642,3.6515e-05,0,-16.25,-9.3333,0
0.00066769,0,0,0,-16.25,-10,0
0.0006676,0.049629,6.3228e-05,0,-16,-9.3333,0
0.00066729,0,0,0,-16,-10,0
0.00066722,0.04961,8.6516e-05,0,-15.75,-9.3333,0
0.00066695,0,0,0,-15.75,-10,0
0.00066691,0.049587,9.7142e-05,0,-15.5,-9.3333,0
0.00066671,0,0,0,-15.5,-10,0
0.0006665,0.04956,9.177e-05,0,-15.25,-9.3333,0
0.00066627,0,0,0,-15.25,-10,0
0.00066606,0.049535,7.5319e-05,0,-15,-9.3333,0
0.00066584,0,0,0,-15,-10,0
0.00066559,0.049512,4.7607e-05,0,-14.75,-9.3333,0
0.00066536,0,0,0,-14.75,-10,0
0.0006651,0.049498,1.257e-05,0,-14.5,-9.3333,0
0.00066485,0,0,0,-14.5,-10,0
0.00066461,0.049493,-1.8998e-05,0,-14.25,-9.3333,0
0.00066436,0,0,0,-14.25,-10,0
0.00066409,0.049498,-4.4825e-05,0,-14,-9.3333,0
0.00066383,0,0,0,-14,-10,0
0.00066354,0.049511,-6.0709e-05,0,-13.75,-9.3333,0
0.00066329,0,0,0,-13.75,-10,0
0.00066294,0.049527,-6.8366e-05,0,-13.5,-9.3333,0
0.00066266,0,0,0,-13.5,-10,0
0.00066232,0.049545,-6.8888e-05,0,-13.25,-9.3333,0
0.00066202,0,0,0,-13.25,-10,0
0.00066168,0.049564,-6.3529e-05,0,-13,-9.3333,0
0.00066128,0,0,0,-13,-10,0
0.00066096,0.049583,-5.6386e-05,0,-12.75,-9.3333,0
0.00066055,0,0,0,-12.75,-10,0
0.00066022,0.049603,-5.159e-05,0,-12.5,-9.3333,0
0.00065974,0,0,0,-12.5,-10,0
0.00065941,0.049622,-5.0509e-05,0,-12.25,-9.3333,0
0.00065882,0,0,0,-12.25,-10,0
0.00065868,0.049645,-5.5552e-05,0,-12,-9.3333,0
0.00065792,0,0,0,-12,-10,0
0.00065775,0.049667,-6.6879e-05,0,-11.75,-9.3333,0
